"","brand1","Intuit","Microsoft","Symantec","Amazon","H&R Block","Corel","Kaspersky","Encore","Webroot","McAfee","Nuance Dragon","Nova","Apple","Roxio","The Learning Company","Avast","Garmin","Individual Software","Topics Entertainment","Trend Micro","Adobe","Rosetta Stone","Smith","Cyberlink","Sony","Acronis","Avanquest","Parallels","Riverdeep","LeapFrog"
"11","Nuance Dragon",0.462430116735566,0.00540463130471069,0.387436419735794,0.00338975278158329,Inf,0.0646516832921562,0.172173287818335,Inf,Inf,0.0432139031512333,9.15673956041171e-05,Inf,0.00392774139977809,0.155321933240222,Inf,0.178583005510623,Inf,Inf,Inf,Inf,0.00227475913389545,0.141923555612472,0.00626498213149459,Inf,0.00444942561890229,Inf,0.020841920754279,0.0138610145095732,Inf,Inf
"12","Nova",Inf,103.86881955811,Inf,30.7292024336918,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.3434975048123,Inf,Inf,Inf,Inf,Inf,Inf,Inf,22.0878378107979,Inf,Inf,Inf,Inf,Inf,Inf,13.403153901257,Inf,Inf
"13","Apple",73.6755595663536,1.3039208504518,7.71592127852858,1.4102255652414,Inf,28.3263008191899,Inf,2.08030922719214,Inf,Inf,Inf,Inf,0.0492539615355395,19.7970329877021,Inf,Inf,Inf,Inf,Inf,Inf,0.808734624347856,Inf,2.49538280221385,13.4997738923728,2.16838156138793,Inf,Inf,2.25535925313215,Inf,Inf
"14","Roxio",74.7048395036037,5.14164465742483,4.81459451622049,1.24877073919618,Inf,0.490974900633898,83.442950844602,1.40624804073406,Inf,34.9056817711898,Inf,Inf,0.646961862343207,0.0122609371100468,Inf,Inf,Inf,Inf,Inf,14.6503655740132,1.0419242853716,Inf,Inf,1.14069763874271,0.467218395956475,20.8582325186789,Inf,10.7482777802234,Inf,Inf
"15","The Learning Company",Inf,0.512275363072823,Inf,0.0789347673937239,Inf,Inf,Inf,0.129729751361648,Inf,Inf,Inf,0.192437600297742,0.0483154425951197,Inf,0.000510264391226568,0.887154285439869,Inf,Inf,Inf,Inf,Inf,0.705039598849052,Inf,Inf,0.191564518043922,Inf,Inf,Inf,0.000736128174788978,Inf
"16","Avast",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.27578281107961,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"17","Garmin",Inf,10.2750758249816,Inf,0.863955326946153,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.63183141842184,6.10531501883786,Inf,Inf,Inf,0.0130747503196853,Inf,Inf,Inf,Inf,Inf,2.80913714928306,Inf,41.4973527399042,Inf,Inf,29.832480260604,Inf,Inf
"18","Individual Software",2.32706768421769,0.109478542165818,Inf,0.0462418665501646,Inf,0.340836523899662,Inf,Inf,0.524201519923484,0.181219593860011,Inf,Inf,0.205560246677418,0.115795563132496,Inf,Inf,Inf,0.000248762088915243,Inf,Inf,0.0875799737818058,0.0170046656494206,0.0525450114254385,Inf,0.12936824595174,Inf,Inf,0.372011744256933,Inf,Inf
"19","Topics Entertainment",Inf,0.0942497962363418,Inf,0.0171884282671977,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.0268809553347393,Inf,0.00261924676145845,Inf,0.0343872774349681,Inf,8.56704087441919e-05,Inf,0.0501058503847832,0.000841395098661558,Inf,Inf,0.0845869300453683,Inf,Inf,0.364857672251992,Inf,Inf
"20","Trend Micro",Inf,2.43164474289762,0.392946268230129,0.734074507901135,Inf,Inf,0.601475141673609,Inf,1.28157629118417,0.16659592091176,Inf,Inf,3.85293693131264,Inf,Inf,0.561480331304368,Inf,Inf,Inf,0.0089804174608636,25.8546187985481,Inf,Inf,Inf,7.27447598390167,Inf,Inf,15.6888799068357,Inf,Inf
"21","Adobe",395.512003713768,19.3416338808852,Inf,1.30204614522261,Inf,5.3355749968564,Inf,0.930642485823252,Inf,184.802165830936,Inf,Inf,3.35935920882956,Inf,Inf,Inf,98.3253628727274,Inf,Inf,Inf,0.0695571358989576,Inf,4.46531549017332,8.05230489713103,5.0740675638527,Inf,Inf,Inf,Inf,Inf
"22","Rosetta Stone",68.2606520703855,15.2218965027353,Inf,0.970547681845984,Inf,Inf,76.2449966183903,Inf,Inf,95.6839455580856,Inf,Inf,3.34987068659497,Inf,Inf,Inf,Inf,Inf,0.311316186504776,Inf,5.39492638495924,0.0133949795908479,Inf,Inf,34.1532169312593,Inf,Inf,49.1055502419152,Inf,1.12623208647316
"23","Smith",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"24","Cyberlink",Inf,1.41998406241371,Inf,0.420096982830494,Inf,0.204818931719995,Inf,Inf,Inf,Inf,Inf,Inf,0.674988694618638,0.318334224765407,Inf,7.86917372669391,Inf,Inf,Inf,Inf,0.106889003059261,Inf,Inf,0.00344436276390809,0.0596211281950325,Inf,Inf,Inf,Inf,Inf
"25","Sony",27.8203925068333,8.86264890659382,Inf,1.64855129724384,Inf,1.64556982970048,Inf,3.14215566609706,Inf,Inf,Inf,9.32197726117632,2.16838156138793,1.13265065686418,Inf,Inf,Inf,Inf,Inf,Inf,0.458075543958924,Inf,Inf,0.443270127015242,0.0203650705109443,Inf,Inf,20.0135164338225,Inf,Inf
"26","Acronis",186.299668642274,5.01741562316996,1.06181554664918,1.70704122940297,Inf,47.7515247257695,17.3409047706708,Inf,Inf,Inf,Inf,0.743151883153524,7.48030862690641,2.08582325186789,Inf,Inf,Inf,Inf,Inf,Inf,6.69274829364232,Inf,Inf,Inf,3.88384621079634,0.00947735571435092,Inf,44.6736026348542,Inf,Inf
"27","Avanquest",0.835357630231991,0.276656361695494,0.233295048443059,0.203277612602615,Inf,3.85407453948079,0.294653096979425,Inf,0.846787070645627,0.0936765900568671,Inf,0.0129188878521561,0.474369800024812,1.68348934092628,Inf,1.93560935005062,Inf,Inf,Inf,0.0819109896310644,0.0660218263893613,3.07653643134132,0.169760806143724,0.031668591490929,0.0864742651985104,0.233239021774365,0.000726365042364667,Inf,Inf,Inf
"28","Parallels",Inf,445.995579896031,Inf,395.838381069389,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,106.001884897211,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.39795551015617,Inf,Inf
"29","Riverdeep",Inf,0.0893987037830007,0.0537411808020618,0.0459969960193806,Inf,0.246614888687015,Inf,0.00181116211316587,Inf,0.0749273320767352,Inf,0.0268662883532561,0.106239069797223,0.0430893105118036,0.00110419226218347,Inf,Inf,0.0022370648428652,Inf,Inf,0.0950537455828975,0.098430853086069,0.0217253412624409,Inf,0.0802331909989155,Inf,Inf,0.115359411079674,0.000616626847712845,Inf
"30","LeapFrog",5.50441009920722,Inf,Inf,0.267015393444927,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.43114522512716,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.000254389997201693
